date,factory,company,task,work_order,personnel,entry_status,equipment,progress,notes,images,start_time,end_time,tons
2026-06-02,HDPE,대신,PE 배관 보수,작업명 입력1,5,정상작업,카고크레인+15톤,7,1,스크린샷 2026-02-19 201610png,08:00,17:00,0
2026-06-03,HDPE,대신,PE 배관 보수,작업명 입력2,8,정상작업,크레인+50톤,14,2,스크린샷 2026-03-05 194846png,08:00,17:00,0
2026-06-04,HDPE,대신,PE 배관 보수,작업명 입력3,10,정상작업,지게차+5톤,30,3,"스크린샷 2026-04-15 223618png, 스크린샷 2026-04-15 223525png",08:00,17:00,0
2026-06-02,NCC,대아,NCC Cracking H/T 보수,작업명 입력4,7,정상작업,크레인+50톤,5,11,스크린샷 2026-04-15 223618png,08:00,17:00,0
2026-06-03,NCC,대아,NCC Cracking H/T 보수,작업명 입력5,16,정상작업,크레인+150톤,14,22,,08:00,17:00,0
2026-06-04,NCC,대아,NCC Cracking H/T 보수,작업명 입력6,10,정상작업,지게차+5톤,41,33,,08:00,17:00,0
2026-06-04,OXO,동남로,DC-101 내화물 보수,작업명 입력12,10,정상작업,크레인+75톤,17,a123,스크린샷 2026-04-15 223632png,08:05,16:55,0
2026-06-05,OXO,동남로,DC-101 내화물 보수,작업명 입력,5,정상작업,"카고크레인+25톤, 크레인+50톤",25,,,08:00,17:00,0
2026-06-06,OXO,동남로,DC-101 내화물 보수,작업명 입력77,13,정상작업,"크레인+75톤, 지게차+35톤",70,asd,스크린샷 2026-04-15 223632png,08:10,16:20,0
2026-06-04,IPA3,퍼펙트,GB-120 O/H,작업명 입력12145,17,정상작업,없음,17,123,,08:10,16:25,0
2026-06-09,IPA3,퍼펙트,GB-120 O/H,작업명 입력1214522,5,정상작업,"카고크레인+25톤, 크레인+50톤",40,24255,,09:40,15:45,0
2026-06-05,HDPE,대신,PE 배관 보수,작업명 입력66,25,정상작업,크레인+275톤,62,22w2g,"스크린샷 2026-04-15 223456png, 스크린샷 2026-04-15 223421png",08:15,18:25,275
2026-06-08,HDPE,대신,PE 배관 보수,작업명 입력ddfsdf,15,정상작업,크레인+50톤,74,ghdjghj,"스크린샷 2026-04-15 223618png, 스크린샷 2026-04-14 204933png",08:00,17:00,50
2026-06-09,HDPE,대신,PE 배관 보수,작업명 입력,51,정상작업,크레인+50톤,95,222ㅇ1,스크린샷 2026-04-14 204933png,08:00,17:00,50
